Descriptive,,,,,,,,,Scoring (Toy Model),,,,,,,,
Category,Idea,Description,Examples,Literature examples,Scope (Global vs. National),Failure modes,Closest current/ historical equivalent,Current progress,Verifiability,Institutional Fit (China US),Capacity Load (reverse-scored),Evasion Resistance,Scalability (to different countries),Political Ease of implementation,Impact if successful,Impact Rating,Notes on ratings
1. Strategic Postures (macro-orientation),Laissez-faire ,"Let models proliferate, no global action.",Permissionless Innovation,https://www.civitasinstitute.org/research/defending-technological-dynamism-the-freedom-to-innovate-in-the-age-of-ai,Other,Runaway proliferation of unsafe models; tragedy-of-the-commons dynamic.,Early internet policy (“permissionless innovation” in the 1990s).,Still the de facto baseline in most jurisdictions.,0,3,3,1,1,3,0.5,5.5,
1. Strategic Postures (macro-orientation),AI clubs / blocs,Developing networks between aligned countries for AI coordination,G7 Hiroshima Process,https://www.oecd.org/content/dam/oecd/en/publications/reports/2023/09/g7-hiroshima-process-on-generative-artificial-intelligence-ai_8d19e746/bf3c0c60-en.pdf ,Global,"Fragmentation; blocs undercut each other; excludes key players (China, India, Russia).","G7, NATO, or nuclear clubs (non-proliferation treaty’s “nuclear weapon states”).",G7 Hiroshima Process; OECD-led frameworks.,1.5,2,2,2,2,2,1,11.5,
1. Strategic Postures (macro-orientation),Open Global Investment (OGI),Use market-based mechanisms to concentrate investment in certain actors,OGI (Bostrom),https://www.lesswrong.com/posts/LtT24cCAazQp4NYc5/open-global-investment-as-a-governance-model-for-agi,National,Capture by host state; investors lack credible protection; geopolitical rivals reject neutrality.,Multinational corporate structures in oil/telecoms,"Exists as a thought experiment (Bostrom), no state backing.",1,1.5,2,1,1.5,2.5,1.5,14.25,
1. Strategic Postures (macro-orientation),MAD/MAIM (Mutually-Assured Destruction/AI Malfunction),Deterrence-based equilibrium,Superintelligence Strategy,https://arxiv.org/abs/2503.05628 ; https://www.nationalsecurity.ai/chapter/deterrence-with-mutual-assured-ai-malfunction-maim,Global,Misperception of capabilities; accidental escalation; deterrence fails under uncertainty.,Cold War nuclear deterrence (MAD).,Early academic discussion; no formal adoption but present in policy rhetoric.,0,3,2,2,1,1.5,1.5,14.25,
1. Strategic Postures (macro-orientation),Global Moratorium,Halt AGI development,"A Narrow Path, MIRI",https://moratorium.ai/ ; narrowpath.co,Global,Quiet defection; enforcement impossible; moratorium breaks down in conflict,Nuclear Test Ban Treaty attempts; biological research moratoria.,"Normative advocacy (moratorium.ai, MIRI; narrow path); no policy uptake.",1,1,0,1,2,0,3,15,
1. Strategic Postures (macro-orientation),Cooperative development,International laws ensure defensive AI technologies aligned with humans are developed before offensive technologies,"Success without dignity (HK), Anthropic (Checklist), D/Acc (Vitalik)",https://www.lesswrong.com/posts/jwhcXmigv2LTrbBiB/success-without-dignity-a-nearcasting-story-of-avoiding ; https://arxiv.org/abs/2310.09217,Global,Defection (states run secret projects); verification gaps; politicised stalemate.,CERN; ITER nuclear fusion collaboration.,"Limited rhetorical support (Anthropic checklist, “Success without dignity”), no binding deals.",1.5,1,2,1,2,1,2,17,
1. Strategic Postures (macro-orientation),D/Acc (Defensive Accleration),Differentially develop decentralised defensive capabilities before offensive capabilities emerge,D/Acc (Vitalik),https://80000hours.org/podcast/episodes/vitalik-buterin-techno-optimism,Multiple,Offensive work disguised as defensive; incentives skew toward dual-use; decentralisation increases attack surface,Decentralised cryptography; cyber “bug bounty” culture.,"Popular among some technologists (Buterin), not institutionalised.",1,2,2,2,2,3,1.5,18,
1. Strategic Postures (macro-orientation),Non-proliferation,"Stop proliferation of AI capabilities, prevent diffusion of dangerous models or capabilities",Superintelligence Strategy,https://www.nationalsecurity.ai/chapter/nonproliferation ,Global,"Leakage via open weights, smuggling, or “rogue” states; dual-use ambiguity.",Nuclear Non-Proliferation Treaty (NPT); WMD export controls.,Actively pursued via US/EU export controls and licensing proposals.,2,2,2,2,2,2,1.5,18,
1. Strategic Postures (macro-orientation),Strategic advantage,"Make sure one actor ""wins"", by developing advanced AI systems faster than geopolitical rivals",Heritage Foundation,https://www.nationalsecurity.ai; https://www.heritage.org/big-tech/commentary/the-us-not-china-should-take-the-lead-ai ; https://arxiv.org/html/2507.06379,Global,Security dilemma spiral (https://en.wikipedia.org/wiki/Security_dilemma); racing undermines safety; escalation risk.,Early cold war; space race.,"Current US dominance, enforced through chip superiority",1,3,2,2,1,3,1.5,18,
2. Institutional Architectures,Self-governance ,Firms introducing voluntary standards for AGI governance,"Permissionless Innovation, D/Acc (Vitalik), G7 Hiroshima Process",https://www.lesswrong.com/posts/B2DFgzG6bptZvin9L/examples-of-self-governance-to-reduce-technology-risk,Lab-based,Weak incentives; PR without substance; unilateral defection.,Early biotech self-regulation (Asilomar Conference on Recombinant DNA (1975)).,"Frontier Safety Frameworks (voluntary pledges, 2024 Seoul).",1,3,3,0,2,3,0.5,6,
2. Institutional Architectures,Institution for distribution of benefits & access,"Institutions for distributing the benefits of AI. or access to transformative AI systems, to all parties to an agreement. ",Windfall clause (Bostrom),https://cdn.governance.ai/Options_and_Motivations_for_International_AI_Benefit_Sharing.pdf ; https://www.governance.ai/research-paper/the-windfall-clause-distributing-the-benefits-of-ai-for-the-common-good ; https://www.convergenceanalysis.org/fellowships/spar-economics/lead-own-share-sovereign-wealth-funds-for-transformative-ai,Multiple,"States defect, hoard benefits; disputes over allocation; unenforceable; doesn't address misalignment risk",Windfall Clause proposals; UN development funds.,"Mostly academic/EA/LW based (Bostrom, GovAI); no implementation.",1.5,1,1.5,1,1.5,1,1.5,11.25,
2. Institutional Architectures,Corporate governance bodies,Board-level structures for AI risk (enforced or encouraged),"A Narrow Path, OGI (Bostrom), Permissionless Innovation, Responsible scaling policies, Frontier Safety Frameworks",https://www.lesswrong.com/posts/KD4AMfaF3eeWdQwAC/corporate-governance-for-frontier-ai-labs-a-research-agenda,National,Board capture; lack of true alignment (box-ticking committees); incentives skew to profit.,Sarbanes–Oxley compliance boards (https://en.wikipedia.org/wiki/Sarbanes–Oxley_Act); ESG mandates.,"Early discussion in UK, Anthropic “responsible scaling policies”.",1.5,1.5,3,1.5,1.5,2.5,1,11.5,
2. Institutional Architectures,Enforcement of standards/restrictions (International AI Safety Agency),Regulatory global agency with international buy-in,A Narrow Path,https://academic.oup.com/ia/article/101/4/1483/8141294 ; https://arxiv.org/abs/2310.09217,Global,"Non-compliance, sovereignty objections, weak enforcement powers",IAEA; OPCW (chemical weapons).,"Purely theoretical; referenced in Narrow Path, GovAI writing.",1.5,0.5,0.5,1,2,1,2,13,
2. Institutional Architectures,Scientific consensus building organisations (IPCC-for-AI),International scientific consensus body,"Seoul (plus), GAIO (Carnegie)",https://carnegiecouncil.org/media/article/the-case-for-a-global-ai-observatory-gaio-2023,Global,Politicisation of reports; delays between science and policy uptake; expert capture.,IPCC (Intergovernmental Panel on Climate Change),"GAIO proposal (Carnegie), Seoul AI Summit language.",2,2.5,2.5,3,3,2.5,1,15.5,
2. Institutional Architectures,Political forum (UNFCCC-style),Ongoing norm-setting and review cycles,"Global AI Governance Initiative & Action Plan, G7 Hiroshima Process, UN Framework Convention on AI (UNFCAI)",https://www.fmprc.gov.cn/eng./xw/zyxw/202507/t20250729_11679232.html; https://en.wikipedia.org/wiki/Global_Partnership_on_Artificial_Intelligence ; ,Global,Pledges without compliance; free-riding; delay tactics,UNFCCC; Convention on Biological Diversity.,Early talks on “UNFCAI”; China floated recent proposals at UN.,1.5,2,2.5,1,2,2,1.5,16.5,
2. Institutional Architectures,Emergency response & stabilization hub,"Rapid, cross-jurisdiction incident response (IAEA Incident Centre analogue)",Geotechnology stability board,https://www.eurasiagroup.net/files/upload/GovernanceRegimes.pdf,Global,Delayed reporting; lack of jurisdiction; major powers defect in a crisis; too late to avert misalignement scenario,IAEA Incident Centre; WHO pandemic alert systems.,"Only in think tank reports (Eurasia Group), not yet piloted.",2,2,1.5,1.5,2.5,2,1.5,17.25,
2. Institutional Architectures,Independent national regulator,"Establish independent regulator to regulate, monitor and audit AI companies and models",A Narrow Path,narrowpath.co,National,Lack of independence (esp. authoritarian contexts); risk of capture; duplication with existing agencies.,UK Ofcom; ,"Proposed in Narrow Path; UK flirted with idea, but most countries embedding into existing regulators.",2.5,0.5,2,2,1.5,1.5,2,20,
2. Institutional Architectures,Coordination of policy & regulation,"Coordination layer for eval methods, red-team playbooks, and info-sharing","INAISI (Network of AISIs), Global AI Governance Initiative & Action Plan",https://www.nist.gov/system/files/documents/2024/11/20/Mission%20Statement%20-%20International%20Network%20of%20AISIs.pdf ; https://www.csis.org/analysis/ai-safety-institute-international-network-next-steps-and-recommendations,Global,Shallow harmonisation (lowest common denominator); non-binding guidance ignored.,Financial Stability Board; OECD guidelines.,"Ongoing via G7 Hiroshima Process, INAISE, Global AI Governance Initiative.",2,2.5,2,2,3,2,1.5,20.25,
2. Institutional Architectures,Domestic AI regulators (existing),National-level agencies,"EU AI Act, Chinese CAC Interim measures",https://arxiv.org/html/2507.06379,National,"Patchwork rules, regulatory arbitrage; under-resourced.",US FTC; EU telecom regulators; China’s CAC.,"EU AI Act (national agencies), China’s CAC interim rules, UK multi-regulator taskforce.",2,3,2.5,2,2,2.5,1.5,21,
2. Institutional Architectures,International Joint Research (CERN for AI),"Joint, multipolar development organisation for AGI",A Narrow Path,https://hai.stanford.edu/white-paper-enhancing-international-cooperation-ai-research-case-multilateral-ai-research-institute,Global,Geopolitical exclusion (US/China rivalry); governance capture by host state; risk of dual-use leakage.,CERN; ITER (International Thermonuclear Experimental Reactor) nuclear fusion project.,"Appears in policy papers (Stanford HAI, Narrow Path), no formal commitment.",3,2,1,2,2,1.5,2,23,
2. Institutional Architectures,Embedding in existing institutions,"Using existing institutions for AI governance - ""bolt on"" additional provisions",IEC/ISO Working Group,https://www.iso.org/technical-committees.html,Multiple,Mandates diluted; existing institutions lack teeth; some institutions lack expertise and competence.,WTO “bolt-on” clauses; ISO/IEC standards.,"Already happening (ISO/IEC committees, G7 Hiroshima Process).",2,3,3,2,3,3,1.5,24,
3. Regulatory/Legal Mechanisms,Auditor certification regimes,Certification schemes to train and verify auditing bodies,EU AI Act,https://cloudsecurityalliance.org/blog/2025/05/08/iso-42001-lessons-learned-from-auditing-and-implementing-the-framework,Global,Auditor capture; weak oversight; cross-border credential misalignment,Financial audit firms (Big Four); ISO 27001 auditors.,EU AI Act sketches auditor role; industry coalitions (Cloud Security Alliance).,3,2,2,2.5,3,2,1,14.5,
3. Regulatory/Legal Mechanisms,Liability-based mechanisms,Civil or criminal responsibiliity for certain acts,EU Product Liability Directive,https://www.rand.org/pubs/research_reports/RRA3243-4.html ; https://www.europarl.europa.eu/RegData/etudes/BRIE/2023/739341/EPRS_BRI(2023)739341_EN.pdf,National,Weak courts in non-democratic states; long lag between harm and judgment,Product liability law; tobacco litigation.,EU revised product liability directives; US FTC exploring liability angles.,2,0.5,2,2,2.5,1.5,1.5,15.75,
3. Regulatory/Legal Mechanisms,Whistleblower protections,Instituting protections at a domestic level for whistleblowers at AI labs or other AI infrastructure organisations,"Right To Warn, EU AI Act",https://righttowarn.ai/ ; https://thefuturesociety.org/ai-whistleblowers,Multiple,Weak enforcement in authoritarian systems; only effective if whistleblowers emerge at the right time,"US/UK whistleblower laws (Sarbanes–Oxley, SEC).",RightToWarn initiative; EU AI Act mentions; negligible outside democracies.,2,0.5,2.5,2.5,1.5,1.5,1.5,15.75,
